BuffBucketId,TableType,MaxRoll,Buff1,BuffType1,BuffPotency1,Buff2,BuffType2,BuffPotency2,Buff3,BuffType3,BuffPotency3,Buff4,BuffType4,BuffPotency4,Buff5,BuffType5,BuffPotency5,Buff6,BuffType6,BuffPotency6
LegionSigniferNamed02Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
LegionSigniferNamed03Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,RandomOffNoElemBuff,BuffBucket,1,,,0,,,0,,,0
LegionSigniferNamed03Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
LegionVillagerPickaxeNamed00Buffs,AND,0,AI_Health_Buff,StatusEffect,1,RandomOffNoElemBuff,BuffBucket,1,AI_Armor_Buff,StatusEffect,1,,,0,,,0,,,0
LegionVillagerPickaxeNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
UndeadOfficerNamed05,AND,0,AI_ArcaneResist_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
UndeadOfficerNamed05_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
UndeadHunterNamed03Buffs,AND,0,AI_ColdAura_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
UndeadHunterNamed03Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
UndeadHunterNamed09Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
UndeadHunterNamed09Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
UndeadGraveDiggerNamed01Buffs,AND,0,AI_Health_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
UndeadGraveDiggerNamed01Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
DamnedAcolyteNamed00Buffs,AND,0,AI_Corruption_Pool_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0,,,0,,,0
DamnedAcolyteNamed00Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
UndeadBerserkerNamed01Buffs,AND,0,AI_SelfDestruct_Buff,StatusEffect,1,,,0,,,0,,,0,,,0,,,0
UndeadBerserkerNamed01Buffs_Probs,,0,0,,0,,,0,,,0,,,0,,,0,,,0
Undead_Pirate_Brute_Named_05WC11Buffs,AND,0,AI_StaminaDamageTakenReduced_50_Buff,StatusEffect,1,ChampRndOffDefNoElemBuff,BuffBucket,1,,,0,,,0,,,0,,,0
Undead_Pirate_Brute_Named_05WC11Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
Sand_Elemental_QuestBossBuffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,AI_FireResist_Buff,StatusEffect,1,,,0,,,0,,,0
Sand_Elemental_QuestBossBuffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
SandElementalSoldierNamed00Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,AI_FireResist_Buff,StatusEffect,1,,,0,,,0,,,0
SandElementalSoldierNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
SandElementalHeavyNamed00Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,AI_FireResist_Buff,StatusEffect,1,,,0,,,0,,,0
SandElementalHeavyNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
StormcourtPirateBuffs,AND,0,AI_LightningResist_Buff,StatusEffect,1,,,0,,,0,,,0,,,0,,,0
StormcourtPirateBuffs_Probs,,0,0,,0,,,0,,,0,,,0,,,0,,,0
StormcourtFamilyBuffs,AND,0,AI_LightningDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_LightningResist_Buff,StatusEffect,1,,,0,,,0,,,0
StormcourtFamilyBuffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
SwordShieldMasteryNamed00Buffs,AND,0,AI_Health_Buff,StatusEffect,1,AIIceResistBuff,StatusEffect,1,,,0,,,0,,,0,,,0
SwordShieldMasteryNamed00Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
SwordShieldMasteryNamed01Buffs,AND,0,AI_ArcaneResist_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
SwordShieldMasteryNamed01Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
ThorpeNamedBuffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
ThorpeNamedBuffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
WitheredBruteNamed09Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
WitheredBruteNamed09Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
WolfElementalIceNamed00Buffs,AND,0,AI_ColdAura_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
WolfElementalIceNamed00Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
YonasNamedBuffs,AND,0,AI_ArcaneDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
YonasNamedBuffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
YetiNamedBuffs,AND,0,YetiNamedOffensiveBuffs,BuffBucket,1,YetiNamedDefensiveBuffs,BuffBucket,1,,,0,,,0,,,0,,,0
YetiNamedBuffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
YetiNamedOffensiveBuffs,OR,0,AI_StaminaDamage_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,AI_NatureDamage_Buff,StatusEffect,1,,,0,,,0,,,0
YetiNamedOffensiveBuffs_Probs,,100,0,,0,34,,0,67,,0,,,0,,,0,,,0
YetiNamedDefensiveBuffs,OR,0,AI_IceResist_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,,,0,,,0,,,0
YetiNamedDefensiveBuffs_Probs,,100,0,,0,34,,0,67,,0,,,0,,,0,,,0
EliteAlligatorBlackNamed00Buffs,AND,0,AI_Slime_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteAlligatorBlackNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteAnubianScarabNamed00Buffs,AND,0,AI_RotatingBeam_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianScarabNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianBruteNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianGuardianBruteNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianBruteNamed01Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianGuardianBruteNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianBruteNamed02Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianGuardianBruteNamed02Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianHorusNamed00Buffs,AND,0,AI_ColdAura_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_Damage_Buff,StatusEffect,1,,,0,,,0
EliteAnubianGuardianHorusNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianHorusNamed01Buffs,AND,0,AI_FireDamage_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_Damage_Buff,StatusEffect,1,,,0,,,0
EliteAnubianGuardianHorusNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianPantherNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_Damage_Buff,StatusEffect,1,,,0,,,0
EliteAnubianGuardianPantherNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianPantherNamed01Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianGuardianPantherNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianPantherNamed02Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianGuardianPantherNamed02Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteAnubianGuardianPantherNamed03Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteAnubianGuardianPantherNamed03Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteBearGrizzlyNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteBearGrizzlyNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteBloatedCorpseNamed00Buffs,AND,0,AI_Slime_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_SelfDestruct_Buff,StatusEffect,1,,,0,,,0
EliteBloatedCorpseNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteCorruptedOgreNamed00Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffNoElemBuff,BuffBucket,1,,,0,,,0
EliteCorruptedOgreNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteCorruptedOgreNamed01Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteCorruptedOgreNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteCorruptionHeavyNamed00Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteCorruptionHeavyNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteCorruptedTigerNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteCorruptedTigerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedCommanderNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDamnedCommanderNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDamnedCommanderNamed01Buffs,AND,0,AI_FireDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffNoElemBuff,BuffBucket,1,,,0,,,0
EliteDamnedCommanderNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedAcolyteNamed00Buffs,AND,0,AI_Corruption_Pool_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDamnedAcolyteNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDamnedAcolyteNamed01Buffs,AND,0,AI_RotatingBeam_Buff,StatusEffect,1,AI_ArcaneDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDamnedAcolyteNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDamnedAcolyteNamed02Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDamnedAcolyteNamed02Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDamnedHoundNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDamnedHoundNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDamnedPistoleerNamed00Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,RandomOffensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteDamnedPistoleerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedPriestNamed00Buffs,AND,0,AI_Corruption_Pool_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteDamnedPriestNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedPriestNamed01Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteDamnedPriestNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedPriestNamed02Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteDamnedPriestNamed02Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedPriestNamed03Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteDamnedPriestNamed03Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDamnedVillagerHammerNamed00Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDamnedVillagerHammerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDryadBeastNamed00Buffs,AND,0,AI_NatureResist_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteDryadBeastNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDryadProwlerNamed00Buffs,AND,0,AI_NatureDamage_Buff,StatusEffect,1,AI_NatureResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteDryadProwlerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteDynastyHeavyNamed00Buffs,AND,0,AI_Corruption_Pool_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteDynastyHeavyNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDynastySpearmanNamed00Buffs,AND,0,AI_VoidResist_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteDynastySpearmanNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDynastySummonerNamed00Buffs,AND,0,AI_ArcaneResist_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteDynastySummonerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDynastyMaidenNamed00Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteDynastyMaidenNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteDynastyWarriorNamed00Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteDynastyWarriorNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteElementalBearNamed00Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteElementalBearNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteElementalBearNamed01Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteElementalBearNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteElementalWolfNamed00Buffs,AND,0,AI_Slime_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteElementalWolfNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteElkElementalNamed00Buffs,AND,0,AI_NatureDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteElkElementalNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteElkCorruptedNamed00Buffs,AND,0,AI_NatureDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteElkCorruptedNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteGhostShackledNamed01Buffs,AND,0,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0,,,0
EliteGhostShackledNamed01Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
EliteGhostShipwreckedNamed00Buffs,AND,0,AI_ArcaneDamage_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteGhostShipwreckedNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteGhostPlaguedNamed00Buffs,AND,0,AI_Slime_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteGhostPlaguedNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteLegionCyclopsNamed02Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteLegionCyclopsNamed02Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteLegionSigniferNamed04Buffs,AND,0,AI_ArcaneDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,RandomOffensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0
EliteLegionSigniferNamed04Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteLegionLegionnaireNamed05Buffs,AND,0,AI_LightningDamage_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0
EliteLegionLegionnaireNamed05Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteScorpionNamed00Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteScorpionNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteScorpionNamed04Buffs,AND,0,AI_VoidDamage_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteScorpionNamed04Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteTendrilDryadNamed00Buffs,AND,0,AI_NatureResist_Buff,StatusEffect,1,AI_NatureDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,,,0
EliteTendrilDryadNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteTendrilCorruptionNamed00Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteTendrilCorruptionNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteUndeadBerserkerNamed00Buffs,AND,0,AI_LightningDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteUndeadBerserkerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteUndeadBerserkerNamed01Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteUndeadBerserkerNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteUndeadHunterNamed00Buffs,AND,0,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteUndeadHunterNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteUndeadNavigatorNamed00Buffs,AND,0,AI_FireDamage_Buff,StatusEffect,1,AI_FireResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteUndeadNavigatorNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteUndeadOfficerNamed00Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteUndeadOfficerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteUndeadOfficerNamed01Buffs,AND,0,AI_LightningDamage_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0
EliteUndeadOfficerNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteUndeadPirateBruteNamed01Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteUndeadPirateBruteNamed01Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteUndeadPirateBruteNamed00Buffs,AND,0,AI_ColdAura_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteUndeadPirateBruteNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
EliteUndeadPistoleerNamed00Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,0,,,0
EliteUndeadPistoleerNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
EliteWitheredBruteNamed00Buffs,AND,0,AI_StaminaDamage_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
EliteWitheredBruteNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
AcolyteDarkness00Buffs,AND,0,RandomOffNoElemBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,0,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0
